App Name,Country,Category,Sensor Tower Link,Release Date,Last 30D Downloads WW,Last 30D Revenue WW,Ads Network,How They Get Their Money,Keyword 1,KW1 Advanced Search Link,KW1 Results,Keyword 2,KW2 Advanced Search Link,KW2 Results,Keyword 3,KW3 Advanced Search Link,KW3 Results,Market Verdict,App Description,Why I could work
ATC - Live Air Traffic Radio,US,Travel,https://app.sensortower.com/overview/6755132266?country=US,2026-01-12,"69,000","$413,900",New,ORGANIC. App name = search keyword. Built $414K/mo BEFORE running any ads. US/UK/Canada organic aviation markets. Only now testing UA.,live air traffic,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+air+traffic,4 pages ~80 results — Flight Tracker+ $261K / Plane Finder $130K / LiveATC $24K,flight tracker live,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=flight+tracker+live,3 pages ~60 results — heavily crowded generic flight tracker market,aviation radio,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=aviation+radio,2 pages ~30 results — mostly education/training. AUDIO ATC niche has <5 real competitors,⚠️ YELLOW — Broad flight tracking crowded but live ATC AUDIO angle has only 2-3 real competitors,Listens to real radio chatter between pilots and airport towers while a flight tracker shows the planes.,Aviation fans love hearing real ATC. Only a few apps mix the radio audio with a live map.
Sky Radar: Live Flights,US,Travel,https://app.sensortower.com/overview/6758307448?country=US,2026-02-05,"86,000","$2,000",Active,PAID UA. Sky Radar is a brand name. 86K DLs with only $2K rev = $0.02 RPD. Active ads. Buying chart position but users dont convert.,live flight tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+flight+tracker,8 pages 175+ results — Flightradar24 $2.5M/mo / Flighty $1.2M/mo / FlightAware $48K/mo,flight tracker live,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=flight+tracker+live,3 pages ~60 results — same crowded market different angle,live air traffic,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+air+traffic,4 pages — overlaps with App 1. Confirms same crowded space,🔴 RED — Very crowded. 175+ apps. Dominated by incumbents. Burning money on UA,Shows planes flying live in the sky on a map of the world.,"Tons of bigger flight trackers already exist (Flightradar24, Flighty). This one is just burning money on ads."
Mappa: GPS & Live Earth Camera,US,Travel,https://app.sensortower.com/overview/6756056112?country=US,2025-12-11,"57,000","$21,800",Inactive,ORGANIC / ASO. Zero ads. Keyword-stuffed title. Vietnam publisher. US/Brazil/Mexico organic search. Aggressive sub pricing.,live earth camera,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+earth+camera,7 pages 150+ results — packed with clones: Live Earth Map 1.2M DLs / GPS Satellite 463K DLs,3d earth map,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=3d+earth+map,7 pages 150+ results — same clone market. Live Earth Map $137K/mo dominates,gps live satellite view,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=gps+live+satellite+view,1 page 25 results — mostly dead apps with 0 downloads,🔴 RED — Very crowded clone market. 150+ apps. Known template play. Race to the bottom,Lets you peek at any place on Earth from above and at street level using satellite pictures.,150+ copy apps fight for the same users. Google Maps gives this away free. Hard to win.
Focus Town: Study With Friends,US,Productivity,https://app.sensortower.com/overview/6758457625?country=US,2026-02-06,"531,000","$34,600",N/A,MIXED — likely organic + viral. Subtitle contains searchable keywords. 531K DLs in 3 months with no visible ad network = viral growth from TikTok/student communities + ASO. Top countries US/South Korea/UK.,study with friends,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=study+with+friends,4 pages ~100 results — Focus Town #2 with 531K DLs. Focus Tree 72K/$11K and Regain 321K/$1K nearest competitors,pomodoro focus timer,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=pomodoro+focus+timer,13 pages ~325 results — Structured $248K/mo dominates. Most dead apps. Only 5-6 active competitors,focus timer adhd,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=focus+timer+adhd,1 page 8 results — ALL with 0 downloads. ADHD + focus niche completely empty,🟢 GREEN — Gamified study-with-friends + ADHD angle genuinely uncrowded. Social/multiplayer layer is real differentiator. 531K DLs in 3 months no visible ad spend.,"A study app where you sit with friends online and work on stuff together, like a video game.",Studying alone is boring. Kids love hanging out while they study. TikTok made this go viral.
SocialLiteApp,US,Productivity,https://app.sensortower.com/overview/6757661674?country=US,2026-01-29,"22,000","$2,000",N/A,ORGANIC / VIRAL. Brand name not a keyword. No visible ads. 22K DLs from US/UK/Canada = word-of-mouth and digital wellness community. Novel concept: removes addictive features instead of blocking.,stop scrolling social media,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=stop+scrolling+social+media,1 result — only 1 dead app. This specific angle barely exists,screen time limit,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=screen+time+limit,7 pages ~175 results — crowded with Opal $585K/mo / Kids360 $555K/mo / minimalist phone $149K/mo,social media detox,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=social+media+detox,Novel angle — removes addictive features instead of blocking. Almost no direct competitors,⚠️ YELLOW — Broader screen time market RED (Opal $585K/mo) but removing addictive features angle is novel. $2K/mo early. Worth watching.,Helps you stop scrolling social media by quietly removing the addictive parts of the apps.,Many people want to stop doom-scrolling. Big screen-time apps just block — this one is smarter.
Alarm Clock to Wake Up: Wayk,US,Health & Fitness,https://app.sensortower.com/overview/6758021281?country=US,2026-02-03,"124,000","$172,200",N/A,"MIXED. Keyword-rich name ""alarm clock wake up"". Strong $1.39 RPD. 124K downloads with $172K revenue in 3 months = organic ASO + likely paid UA.",alarm clock wake up,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=alarm+clock+wake+up,33 pages ~825 results — massively crowded alarm market,smart alarm clock app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=smart+alarm+clock+app,3 pages ~75 results — moderate competition in smart alarm niche,alarm clock heavy sleepers,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=alarm+clock+heavy+sleepers,1 page ~25 results — niche angle less crowded,🔴 RED — Alarm clock market extremely crowded (825+ results). Even niche angles have dozens of competitors. Dominated by established players.,Loud alarm clock built to wake up even very heavy sleepers.,The alarm clock space is jammed with hundreds of apps. Hard to stand out.
Sleepmaxx AI,US,Health & Fitness,https://app.sensortower.com/overview/6756597221?country=US,2025-12-23,"14,000",$100,N/A,"ORGANIC / VIRAL. TikTok-friendly brand ""Sleepmaxx"" riding the ""maxxing"" cultural trend. $100 revenue = pre-monetization. 14K DLs from trend awareness not keyword search.",ai sleep tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ai+sleep+tracker,1 page ~25 results — AI sleep niche is small,sleep optimization app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=sleep+optimization+app,1 page ~25 results — few dedicated optimization apps,sleep quality tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=sleep+quality+tracker,1 page ~25 results — few dedicated sleep quality trackers,"⚠️ YELLOW — AI sleep tracking niche small (<75 results) but broader sleep market crowded. ""Maxxing"" trend provides unique positioning. $100 revenue = poor monetization needs fixing.","Tracks your sleep with AI and rides the ""looksmaxxing"" TikTok trend.","The ""maxxing"" trend is hot online, but the app barely makes any money yet."
Stella - Manifest Anything,US,Health & Fitness,https://app.sensortower.com/overview/6757347283?country=US,2026-01-29,"59,000","$204,500",N/A,"PAID UA / MIXED. ""Stella"" is a brand name nobody searches for. Excellent $3.47 RPD. $204K/mo with non-searchable name = likely running paid ads. Manifestation community also drives viral sharing.",manifestation app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=manifestation+app,4 pages ~100 results — moderately crowded manifestation market,manifest journal,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=manifest+journal,1 page ~25 results — small journaling sub-niche,law of attraction app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=law+of+attraction+app,3 pages ~75 results — established spiritual/LOA market,⚠️ YELLOW — Manifestation market moderately crowded (~200 results). But Stella $204K/mo proves strong willingness to pay. Brand-driven UA approach works.,"A journal that helps you ""manifest"" the life and stuff you want, like a vision board on your phone.",People in the manifesting community spend lots of money on this. Stella proves it works.
Safe Choice - Product Scanner,US,Health & Fitness,https://app.sensortower.com/overview/6758905553?country=US,2026-03-09,"52,000","$12,600",N/A,"ORGANIC / ASO. Name contains searchable keywords ""product scanner"". 52K DLs in 2 months with $12.6K rev. Riding food safety/ingredient awareness trend.",food ingredient scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=food+ingredient+scanner,1 page ~25 results — very few dedicated ingredient scanners,product safety scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=product+safety+scanner,1 page ~25 results — safety angle barely exists,food scanner app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=food+scanner+app,3 pages ~75 results — moderate competition in food scanning,🟢 GREEN — Food safety/product scanning niche uncrowded (<125 results). Trending due to health consciousness. 52K DLs in 2 months validates demand.,Scans food and beauty products to tell you if the ingredients are safe.,Health-conscious shoppers want this. Only a few apps do food + product safety scanning.
Military Calisthenics Women,US,Health & Fitness,https://app.sensortower.com/overview/6755748144?country=US,2025-12-14,"72,000","$144,800",N/A,ORGANIC / ASO. Every word in name is a searchable keyword. $144.8K/mo with $2.01 RPD = excellent monetization. Targeting underserved niche (women calisthenics with military branding).,calisthenics app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=calisthenics+app,2 pages ~50 results — moderate competition,women workout no equipment,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=women+workout+no+equipment,1 page ~25 results — small underserved niche,bodyweight workout app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=bodyweight+workout+app,2 pages ~50 results — moderate competition,"⚠️ YELLOW — Broader workout market massive but ""calisthenics women"" is differentiated. ~125 results across keywords. $144K/mo proves market exists. Military branding = unique positioning.",Workout app with army-style calisthenics moves made just for women.,"Women want bodyweight workouts without big gear. The ""military"" twist makes it feel special."
